city,Nb vehicules,Nb vehicules elec,lat,lng,Indice critair,score ecosocial
haubourdin,7740,23,50.6092,2.9869,0.4740348848030598,56.166666666666664
reims,95436,316,49.2628,4.0347,0.4729744981239281,39.916666666666664
ronchin,9727,39,50.6047,3.0878,0.472973311773651,52.0
boissy st leger,8354,50,48.7503,2.5097,0.47290651557482777,51.25
cuges les pins,4010,11,43.2764,5.7006,0.47247920723782766,70.41666666666666
vendargues,5831,28,43.6578,3.9694,0.4720093964329757,70.91666666666666
magland,2713,14,46.0219,6.6197,0.4719389396448057,78.41666666666667
bonneville,9186,34,46.0789,6.4008,0.47154709446620746,63.33333333333333
cugnaux,12710,56,43.5378,1.3436,0.4704275361145078,64.0
colomiers,25636,139,43.6139,1.3367,0.46981206842812284,60.58333333333333
la mulatiere,3234,7,45.7281,4.8122,0.46918228968690245,54.91666666666667
alfortville,17247,40,48.805,2.4239,0.46786507597253557,48.41666666666667
lingolsheim,10982,25,48.5575,7.6831,0.4673935844378625,58.0
gratentour,3159,19,43.7211,1.4314,0.46678056429176396,76.25
st martin du var,2121,9,43.8222,7.1922,0.46674683108959725,74.08333333333334
rosny sous bois,19078,197,48.8667,2.4833,0.46617139878035907,52.16666666666667
clermont ferrand,85263,537,45.7831,3.0824,0.4660632177011834,41.41666666666667
villeneuve tolosane,7077,27,43.5236,1.3417,0.4659454526207205,67.75
carros,10696,48,43.7725,7.1933,0.4653783485411678,60.91666666666667
marnaz,4328,14,46.0592,6.5258,0.46263076479981535,68.58333333333333
la bassee,3655,0,50.5336,2.8072,0.46254958901452436,51.25
lancon provence,7318,34,43.5925,5.1281,0.46246152445446764,74.16666666666666
wattignies,7724,32,50.585,3.0431,0.4611723524445144,49.91666666666667
la penne sur huveaune,4563,19,43.2806,5.5158,0.4610880101066619,65.5
castries,4923,19,43.6789,3.9814,0.46093042750945923,70.25
launaguet,6133,22,43.6739,1.4569,0.46062167008943167,66.58333333333334
st heand,2646,6,45.5286,4.3728,0.4588283870893819,83.66666666666667
valence,43218,188,44.9333,4.8917,0.4568373117324307,45.083333333333336
trets,8157,28,43.4469,5.6858,0.4561882236866244,66.33333333333333
chabeuil,5447,24,44.8997,5.02,0.45598087938128673,71.75
ostwald,7578,24,48.5511,7.7136,0.45546069238361087,54.33333333333333
mions,9939,41,45.6631,4.9531,0.4549803729124706,70.75
bourg les valence,13658,91,44.9475,4.8953,0.4547981762335609,56.58333333333333
jouques,3559,28,43.6369,5.6367,0.45351545129643833,71.58333333333333
deville les rouen,5488,7,49.4697,1.0497,0.45305597763178307,42.91666666666667
hem,10614,60,50.6553,3.1878,0.45302660980526044,51.66666666666667
st mitre les remparts,4806,20,43.455,5.0142,0.4517288981098613,70.66666666666666
le grand quevilly,16682,43,49.4072,1.0531,0.451230712611181,57.16666666666667
villeurbanne,69681,229,45.7667,4.8803,0.45113069425556374,50.0
juvignac,7558,25,43.6131,3.8097,0.45052437766524767,60.0
grabels,5487,21,43.6481,3.8017,0.4483742521346792,56.916666666666664
